41.0898	0	0	0	1.0279	1.0357
39.4844	0.9869	0	0.2332	1.0279	1.0357
36.4767	1.9244	0	0.6996	1.0279	1.0357
31.5106	2.6381	0	1.2174	1.0279	1.0357
28.523	2.6165	0	1.455	1.0279	1.0357
25.2043	2.6375	0	1.5557	1.0279	1.0357
22.1774	2.4691	0	1.7105	1.0279	1.0357
18.968	2.4145	0	1.663	1.0279	1.0357
16.2722	2.2034	0	1.7714	1.0279	1.0357
13.7607	1.989	0	2.04	1.0279	1.0357
11.2867	1.811	0	1.8838	1.0279	1.0357
9.074	1.8127	0	1.7703	1.0279	1.0357
7.1265	2.2155	0	1.4823	1.0279	1.0357
3.1881	2.653	0	1.1851	1.0279	1.0357
0	3.815	0	0.5946	1.0279	1.0357
